transaction_id,transaction_date,customer_id,customer_age,customer_segment,country,payment_method,transaction_amount_usd,currency,exchange_rate,product_category,merchant_id,merchant_name,transaction_status,is_fraud,device_type,platform,session_duration_sec,chargeback_flag,discount_applied,net_revenue_usd,customer_lifetime_value
CC6B128E-7B23-4074,2024-09-02,CUST010209,48,Basic,Ghana,mpesa,6.37,GHS,0.072,Travel & Hospitality,MER00107,"Franklin, Mills and Davis",Completed,0,Desktop,USSD,48.9,0,0.085,5.83,673.19
8AC7B14E-5C43-484C,2023-07-11,CUST007302,39,Premium,Ghana,debit card,8.13,GHS,0.072,entertainment,MER00268,Bell-Perez,SUCCESS,0,Desktop,Web,252.5,0,0.2568,6.04,358.55
3AB65EDD-B02C-419E,04-23-2023,CUST006725,25,SME,South Africa,Debit Card,10.86,ZAR,0.054,Automotive,MER00170,"Kirk, Huffman and Eaton",pending,0,Desktop,ussd,181.0,0,0.1202,9.55,365.41
9509F57A-252A-47E2,2022-07-26,CUST013441,25,Corporate,United Kingdom,Crypto Wallet,243.43,GBP,1.27,Financial Services,MER00197,"Lamb, Haney and Brown",Declined,0,Desktop,iOS,92.8,0,0.0588,229.12,3064.05
E28FC34B-2C66-4A99,2022-11-21,CUST011229,43,Premium,Kenya,M-Pesa,13.83,KES,0.0075,education,MER00242,Daniel and Sons,Completed,0,Tablet,ANDROID,174.9,0,0.2979,9.71,486.28
0978F29A-4690-45D8,03-12-2023,CUST001964,40,Basic,Ghana,PayPal,6.17,GHS,0.072,Financial Services,MER00238,"Walker, Cabrera and Roberts",Failed,0,Mobile,ANDROID,200.0,0,0.0937,5.59,1442.68
939B0C6A-0FDB-4088,2024-01-18,CUST013271,39,SME,India,PayPal,1.46,INR,0.012,Media & Entertainment,MER00187,Smith Group,Completed,0,Desktop,Android,44.3,0,0.0396,1.4,376.82
388676E6-BA3E-4FEA,2024-12-19,CUST004810,25,Retail,Kenya,Debit Card,422298.39154755085,KES,0.0075,Fashion & Apparel,MER00191,"Davis, Hutchinson and Bond",completed,0,Mobile,Android,457.6,0,0.0173,0.36,402.09
D369633C-385D-4962,2024/09/28,CUST011964,46,Retail,United States,Bank Transfer,134.88,USD,1.0,Automotive,MER00028,"Hays, Keith and Martinez",Failed,0,Desktop,Android,122.0,0,0.1251,118.01,202.75
01563666-F3B7-4071,2024-11-21,CUST014685,28,SME,Nigeria,PayPal,0.08,NGN,0.0013,Groceries,MER00292,Orozco-Morales,Pending,0,Desktop,Android,425.7,0,0.1959,0.06,271.33
82F5C7F0-6CEB-4C31,09/10/2023,CUST014411,37,Premium,Nigeria,Bank Transfer,,NGN,0.0013,Electronics,MER00147,Hall-Anderson,Completed,0,Mobile,Android,256.5,0,0.3479,1.35,964.2
75BC55BB-F0E0-4268,2024-07-22,CUST014732,21,Retail,Nigeria,PayPal,0.95,NGN,0.0013,Home & Furniture,MER00113,Morales-Guzman,Completed,0,Mobile,Android,2994.6,0,0.3225,0.64,498.98
5BE0EC7A-D0EC-4AE1,2023-07-18,CUST002950,18,Retail,SA,MTN Mobile Money,4.83,ZAR,0.054,Beauty,MER00199,Aguirre LLC,Completed,0,Mobile,Android,70.5,0,0.4055,2.87,94.01
EA9DEE5F-D9FD-46B7,2024-12-17,CUST009841,23,Corporate,EG,M-Pesa,1.97,EGP,0.032,Automotive,MER00116,Jones LLC,Completed,0,Mobile,Android,584.2,0,0.0676,1.84,176.22
90E11A92-826D-4E2F,2024-08-28,CUST013603,40,SME,Ghana,Airtel Money,6.69,GHS,0.072,Fashion & Apparel,MER00185,Smith Ltd,success,0,Desktop,POS Terminal,139.9,0,0.0336,6.47,5884.94
60E11158-E69B-4509,2024/02/01,CUST011519,18,retail,United Kingdom,M-Pesa,115.18,GBP,1.27,ELECTRONICS,MER00193,Lopez PLC,Completed,0,Mobile,pos,86.4,0,0.0781,106.18,1831.23
0B44FACC-6E2E-4D79,01-26-2024,CUST001693,50,SME,United Kingdom,mpesa,47.5,GBP,1.27,fashion & apparel,MER00260,King-Gilmore,Refunded,0,Mobile,USSD,570.3,0,0.3665,30.09,1892.32
EDE07120-C692-4AFB,2024-09-18,CUST004544,45,Basic,United Kingdom,Bank Transfer,825.33,GBP,1.27,Financial Services,MER00179,Romero-Bennett,failed,0,Desktop,iOS,579.6,0,0.1977,662.16,324.67
746C3B8F-1748-4931,09-03-2024,CUST012480,26,Basic,Nigeria,MPESA,0.06,NGN,0.0013,Groceries,MER00004,Baker PLC,Completed,0,Mobile,iOS,101.5,0,0.1305,0.05,78.74
FCC5A61E-245F-4A3B,2022-10-07,CUST011531,38,SME,Egypt,Bank Transfer,22.56,EGP,0.032,Clothing,MER00102,Young and Sons,Completed,0,Mobile,iOS,2154.7,0,0.3643,14.34,154.19
39C86EB9-84DB-4D07,2023-10-28,CUST006583,43,SME,Nigeria,DebitCard,365279.90834488114,NGN,0.0013,Education,MER00030,Mack LLC,Completed,0,Mobile,Web,264.1,0,0.4092,0.65,481.09
D26B9872-462B-43B4,2022-11-15,CUST005674,36,Basic,Egypt,debit card,32.5,EGP,0.032,Auto,MER00160,Scott and Sons,Failed,0,Mobile,POS Terminal,497.2,0,0.1013,29.21,19716.22
506EF889-06AA-4590,2023-03-04,CUST003787,23,retail,Kenya,Debit Card,0.45,KES,0.0075,Entertainment,MER00266,Brown PLC,N/A,0,Mobile,android,1132.6,0,0.1137,0.4,
977749DB-7CFC-4E2F,2024-07-11,CUST006652,49,SME,USA,M-Pesa,24.35,USD,1.0,Home & Furniture,MER00265,"Marshall, Morales and Young",Completed,0,Mobile,USSD,621.9,0,0.2748,17.66,439.94
FD30DA0B-0568-45B0,2023-07-20,CUST009070,29,Basic,Egypt,airtel money,0.92,EGP,0.032,Furniture,MER00221,"Jensen, Arnold and Smith",Completed,0,Mobile,Android,1460.8,0,,0.85,1587.31
88967144-4798-4D9E,18/06/2024,CUST011050,23,Standard,South Africa,Credit Card,14.56,ZAR,0.054,Electronics,MER00039,Diaz and Sons,refunded,0,Mobile,POS Terminal,147.5,0,0.211,11.49,9004.07
D7647DB3-4EEC-4333,2023-09-05,CUST009717,49,Basic,Kenya,BankTransfer,0.51,KES,0.0075,Hospitality,MER00259,"Nguyen, Holmes and Novak",declined,0,Tablet,iOS,671.5,0,0.2508,0.38,907.47
1D7185F4-6FF8-4623,01-19-2022,CUST012889,33,Retail,Kenya,Mpesa,1.98,KES,0.0075,Fashion & Apparel,MER00224,"Preston, Hunter and Lindsey",Completed,0,Tablet,iOS,21.4,0,0.1598,1.66,768.87
E065D566-F3AE-4171,2024-07-19,CUST002139,38,Retail,Nigeria,CreditCard,0.2,NGN,0.0013,Home & Furniture,MER00245,Peterson-Stewart,Completed,0,Mobile,iOS,173.7,0,0.195,0.16,150.37
EDC28657-AB70-49B3,17/06/2024,CUST012837,26,Retail,South Africa,M-Pesa,8.05,ZAR,0.054,Education,MER00038,"Palmer, Williams and Hanna",Complete,0,Desktop,ANDROID,72.1,0,0.0485,7.66,196.78
3D8C1F27-3C76-461F,12/11/2024,CUST005774,31,Premium,Nigeria,Debit Card,0.03,NGN,0.0013,electronics,MER00193,Lopez PLC,Completed,0,Mobile,Android,201.9,0,,0.03,243.88
21CAD606-2D9A-43F5,2024/05/02,CUST009983,29,PREMIUM,India,GooglePay,0.25,INR,,Health & Beauty,MER00096,Miller-Conley,Completed,0,Mobile,Web,24.1,0,0.1202,0.22,1250.28
8032182F-771D-424A,16/05/2024,CUST001804,29,Premium,IN,Airtel Money,3.9,INR,0.012,Automotive,MER00163,Randall Inc,Completed,0,Mobile,USSD,159.6,0,0.041,3.74,108.15
946443F9-AC0F-4536,21/12/2022,CUST008605,46,Premium,Ghana,Apple Pay,83.35,GHS,0.072,Financial Services,MER00251,"Gonzales, Porter and Palmer",Declined,0,Tablet,Android,134.3,0,0.1181,73.51,1388.42
78A40E00-B1CE-468A,16/09/2022,CUST012932,41,SME,Nigeria,Apple Pay,0.05,NGN,0.0013,Home & Furniture,MER00091,Freeman-Hunt,Completed,1,Mobile,iOS,709.6,1,0.2461,0.04,314.15
2E3E9021-3014-4066,08-Aug-2023,CUST006294,26,Premium,South Africa,Debit Card,1.49,ZAR,0.054,travel,MER00271,"Hoffman, Elliott and Benson",Complete,0,Mobile,USSD,191.2,0,0.2353,1.14,1122.69
BCDCDA9A-B71A-450A,13/03/2022,CUST002133,22,Premium,Ghana,CreditCard,0.76,GHS,0.072,Fashion & Apparel,MER00108,Lewis-Oconnell,Completed,0,Mobile,Web,320.5,0,0.0958,0.69,1491.34
1407280E-06D6-48F1,2024-02-01,CUST004806,30,Retail,Tanzania,Credit Card,0.15,TZS,0.0004,Hospitality,MER00157,Green and Sons,Completed,0,Mobile,iOS,61.5,0,0.3428,0.1,98.0
EA1EF9FA-DB2E-4D6A,2022-01-06,CUST009318,38,SME,Kenya,Cryptocurrency,0.12,KES,0.0075,Entertainment,MER00242,Daniel and Sons,Completed,0,Mobile,iOS,99.4,0,0.516,0.06,201.0
C0D4000B-5C2D-4BE5,2023/05/17,CUST006733,23,SME,South Africa,Credit Card,11.27,ZAR,0.054,Financial Services,MER00160,Scott and Sons,Failed,0,Mobile,android,159.4,0,0.1348,9.75,
9B6DC01E-3073-4A90,2024-03-26,CUST014081,41,Premium,Egypt,MTN Mobile Money,5.94,EGP,0.032,GROCERIES,MER00111,Barnes-Gomez,Completed,0,Mobile,ANDROID,1838.2,0,,4.2,280.83
99272835-E648-41B3,2022-11-18,CUST014891,33,SME,US,mtn mobile money,1403.71,USD,1.0,Fashion & Apparel,MER00297,Bowen Inc,Complete,0,Mobile,android,1767.3,0,0.0309,1360.34,290.5
CA54FB10-43AA-4C6A,18/07/2022,CUST007563,28,Retail,Nigeria,M-Pesa,0.12,NGN,0.0013,electronics,MER00146,"Burns, Salazar and Carroll",Completed,0,Mobile,iOS,265.1,0,0.1135,0.11,2136.52
968196E3-5CE0-4F92,2024-11-20,CUST013029,18,RETAIL,Tanzania,apple pay,0.25,TZS,0.0004,Automotive,MER00115,Thompson PLC,Pending,0,Mobile,USSD,50.2,0,0.4404,0.14,328.86
C495965F-9D99-41A9,2023-03-01,CUST000119,27,SME,KE,M-Pesa,0.44,KES,0.0075,electronics,MER00219,Harris PLC,Completed,0,Mobile,iOS,75.8,0,0.0977,0.4,2621.2
226203B8-8E33-4B10,2023-05-25,CUST008382,18,VIP,Tanzania,M-Pesa,0.05,TZS,0.0004,Health & Beauty,MER00288,Cisneros LLC,SUCCESS,0,Mobile,Android,192.5,0,0.1494,0.04,
A31F0A4E-6CFC-40E8,18/01/2024,CUST014569,18,SME,United States,airtel money,49.13,USD,1.0,Education,MER00123,Gonzales Ltd,Completed,0,Mobile,Web,246.1,0,0.351,31.89,305.59
AB47F8AD-E2C9-481F,2024-09-22,CUST013541,44,Retail,Tanzania,Debit Card,0.03,TZS,0.0004,Travel & Hospitality,MER00248,Long-Ross,success,0,Mobile,POS Terminal,169.9,0,0.2935,0.02,16.46
8FA78797-0BD5-458C,2023-09-18,CUST008867,26,Premium,India,Airtel Money,0.8,INR,0.012,electronics,MER00166,"Reed, Vasquez and Romero",Completed,0,Mobile,Android,187.2,0,0.1571,0.67,928.51
E07DF43B-7BF2-4924,10/11/2024,CUST000014,32,Basic,Ghana,Airtel Money,45.81,GHS,0.072,Financial Services,MER00272,Webster Group,SUCCESS,0,Tablet,Web,162.9,0,0.17,38.02,66.96
1E6336A0-FCEB-47A7,04/09/2024,CUST010925,42,SME,Uganda,DC,0.02,UGX,0.00027,Financial Services,MER00037,Shaw-Castro,Completed,0,Desktop,Android,265.5,0,0.1175,0.02,693.98
F450FF37-B05F-4905,2024/11/13,CUST013070,25,Basic,United States,Bank Transfer,12.97,USD,1.0,Entertainment,MER00243,"Boyer, Gardner and Rodriguez",Failed,0,Mobile,Web,1003.0,0,0.0975,11.71,344.27
DCFCE860-5FEA-4B83,26/01/2023,CUST003570,37,Corporate,NG,Debit Card,0.34,NGN,0.0013,Health,MER00207,"George, Bell and Torres",Completed,0,Mobile,Android,268.0,0,0.2489,0.26,1968.09
684086FF-486A-46B6,08-Dec-2022,CUST006671,45,Basic,Tanzania,Crypto Wallet,0.09,TZS,0.0004,Groceries,MER00254,Branch Group,Completed,0,Mobile,Android,84.7,0,0.2949,0.06,888.07
75B9A62C-1616-4287,08/12/2024,CUST000748,33,Retail,Nigeria,AirtelMoney,0.07,NGN,0.0013,Education,MER00118,Jones LLC,Completed,1,Mobile,iOS,115.6,0,0.0994,0.06,268.69
830082C3-9089-4046,2024-09-24,CUST013453,29,Retail,SA,BankTransfer,,ZAR,0.054,Electronics,MER00248,Long-Ross,Complete,0,Mobile,Android,510.0,0,0.2243,9.87,172.53
CC0ED2B0-FEDC-465C,17/09/2024,CUST005309,39,Corporate,United Kingdom,Crypto Wallet,497.32,GBP,1.27,Financial Services,MER00013,"Gomez, Ross and Robinson",Completed,0,Tablet,Android,251.2,0,0.3995,298.64,
E3406771-EDE7-4C56,09-Oct-2024,CUST001363,40,RETAIL,Ghana,Debit Card,108.06,GHS,0.072,Entertainment,MER00097,"Cooper, Williams and Powell",Completed,0,Mobile,USSD,27.9,0,0.0805,99.36,767.77
78016650-F4CA-40E0,21-Oct-2023,CUST001053,36,SME,NG,M-Pesa,0.18,NGN,0.0013,Fashion & Apparel,MER00209,"Friedman, Higgins and King",Completed,0,Mobile,ios,587.4,0,0.2769,0.13,1203.32
F37F81C4-9156-42A6,2023-02-04,CUST005929,32,SME,Kenya,CreditCard,4.0,KES,0.0075,Groceries,MER00148,Zavala Ltd,Completed,0,Desktop,Android,565.2,0,0.3514,2.59,2744.04
9D557B24-89CB-430A,2023-04-13,CUST010814,18,RETAIL,Nigeria,DebitCard,0.27,NGN,0.0013,Financial Services,MER00059,Olson and Sons,Completed,0,Tablet,USSD,400.3,0,0.0469,0.26,860.84
8080ED67-27E2-4A09,2024-10-14,CUST011473,50,Retail,India,M-Pesa,,INR,0.012,Groceries,MER00265,"Marshall, Morales and Young",Completed,0,Mobile,iOS,337.9,0,0.0955,0.8,164.8
C56861E5-69A2-4568,2022-08-03,CUST003988,41,SME,India,MTN Mobile Money,0.18,INR,0.012,Fashion & Apparel,MER00099,Chapman-Miranda,Completed,0,Desktop,iOS,107.7,0,0.201,0.14,344.52
2C93B9CE-EE84-4964,2023-04-15,CUST006618,40,Premium,Kenya,M-Pesa,5.6,KES,0.0075,Education,MER00125,"Smith, Delgado and Larsen",,0,Desktop,POS Terminal,929.7,0,0.0053,5.57,11367.22
B1951F3F-C6F5-491A,2024-08-20,CUST005784,31,Corporate,GH,apple pay,48.17,GHS,0.072,Groceries,MER00226,Nichols LLC,Pending,0,Mobile,Android,64.3,0,0.1877,39.13,8249.15
D611AB76-0B40-495A,08-20-2023,CUST008439,72,Small Business,Egypt,DebitCard,2.96,EGP,0.032,Health & Beauty,MER00025,Simpson Group,Completed,1,Mobile,USSD,156.3,1,0.2226,2.3,646.16
BA139FC9-DBBB-4731,2024-12-07,CUST010640,47,retail,United States,mtn mobile money,1772.61,USD,1.0,Entertainment,MER00241,Dickerson-Young,Completed,0,Mobile,USSD,404.3,0,0.046,1691.07,643.19
CCC199A0-75AD-4007,15-Jan-2024,CUST005217,70,SME,Nigeria,Credit Card,0.1,NGN,0.0013,Travel & Hospitality,MER00079,White-Pham,Failed,0,Tablet,ios,131.2,0,0.2283,0.08,943.09
49B55E11-C66B-4F82,2022/06/23,CUST014319,32,Corporate,Egypt,M-Pesa,46.71,EGP,0.032,Health & Beauty,MER00010,Boone-Gordon,Completed,0,Mobile,Android,304.7,0,0.0161,45.96,1320.59
41CEDB29-C5F4-4608,2023-10-12,CUST007205,28,Retail,Kenya,Airtel Money,0.68,KES,0.0075,Financial Services,MER00214,Curtis Ltd,SUCCESS,0,Tablet,iOS,2545.5,0,0.1378,0.59,82.07
63990A60-2176-4D8B,2024/10/01,CUST003146,28,Retail,Egypt,Credit Card,4.37,EGP,0.032,Education,MER00181,Harmon-Lozano,Pending,0,Mobile,iOS,130.9,0,0.2045,3.48,1169.17
DE831C9F-DB10-420A,2022-06-03,CUST001883,26,Basic,South Africa,Bank Transfer,1.61,ZAR,0.054,Electronics,MER00078,"Perez, Edwards and Carlson",Completed,0,Mobile,POS Terminal,232.7,0,0.07,1.5,151.23
76E243AC-36F1-4CDC,05-Jan-2024,CUST006658,30,SME,United States,CreditCard,11.56,USD,1.0,Electronics,MER00284,Carson-Lopez,Completed,0,Mobile,ANDROID,762.1,0,0.1054,10.34,4202.3
3B1EBA0B-0929-41D7,2023-05-21,CUST011202,23,SME,Egypt,Credit Card,6.54,EGP,0.032,Travel,MER00176,"Morse, Carroll and Byrd",?,0,Mobile,USSD,103.7,0,0.0243,6.38,
80B725B6-F595-4A5B,2023/02/13,CUST004208,41,Corporate,India,M-Pesa,1.5,INR,0.012,Entertainment,MER00058,"Alvarado, Ortiz and Thomas",Completed,0,Mobile,WEB,279.8,0,0.118,1.32,21.64
58B48B47-6F1F-4641,25/05/2022,CUST004528,33,SME,France,google pay,79.0,EUR,1.08,Automotive,MER00139,"Garcia, Gonzales and Barker",success,0,Tablet,Android,920.9,0,0.0247,77.05,1663.42
2EA50404-87B4-4F00,2024-11-03,CUST012364,32,Sme,France,Bank Transfer,122.56,EUR,1.08,Financial Services,MER00284,Carson-Lopez,Completed,0,Mobile,web,661.8,0,0.1285,106.81,368.17
E775C759-D17A-44A6,18/08/2024,CUST013988,38,Corp,France,debit card,105.53,EUR,1.08,Beauty,MER00233,Hogan-Cooper,Failure,0,Desktop,Android,72.7,0,0.0595,99.25,2513.39
04EE2EB2-0C7A-4D69,2023-12-18,CUST004318,29,Retail,Kenya,credit card,0.76,KES,0.0075,Electronics,MER00247,Mccall-Diaz,Completed,0,Mobile,POS Terminal,508.4,0,0.4161,0.44,2574.71
1AAB4C71-B37B-4F4E,2024/09/05,CUST003506,31,CORPORATE,Ghana,Credit Card,9.35,GHS,0.072,Entertainment,MER00080,Moore-Carrillo,Complete,0,Desktop,POS Terminal,230.1,0,0.1385,8.06,128.13
E5B77E13-D3A8-4931,2022-10-08,CUST006208,46,Retail,GH,Bank Transfer,1.93,GHS,0.072,Travel & Hospitality,MER00240,Jones PLC,Completed,0,Mobile,Web,755.1,0,0.0534,1.83,776.68
FF35F69E-DB71-4FD0,2022-07-10,CUST000729,35,SME,Kenya,M-Pesa,1.97,KES,0.0075,Financial Services,MER00287,Bennett and Sons,Completed,0,Mobile,Android,3450.2,0,0.063,1.85,348.03
7AD4F7BD-AC0D-47B1,11-18-2023,CUST001417,32,Retail,Nigeria,Apple Pay,0.72,NGN,0.0013,Electronics,MER00228,"Jackson, Suarez and Harrell",SUCCESS,0,Mobile,iOS,253.3,0,0.0315,0.7,712.24
01F0E9A2-0A34-4D5E,2024-07-11,CUST005398,55,Corporate,United Kingdom,ApplePay,768.39,GBP,1.27,Groceries,MER00146,"Burns, Salazar and Carroll",Declined,0,Mobile,USSD,794.8,0,0.3221,520.89,1603.05
A469421C-B84F-404C,2023-06-20,CUST003291,34,SME,Kenya,crypto wallet,0.93,KES,0.0075,groceries,MER00112,Jones and Sons,,0,Desktop,iOS,388.2,0,0.2275,0.72,3649.11
FD7F84E6-DF8C-4E2F,2022-05-10,CUST003840,35,Retail,Tanzania,Apple Pay,0.02,TZS,0.0004,Entertainment,MER00254,Branch Group,SUCCESS,0,Tablet,Apple iOS,113.6,0,0.2045,0.02,458.35
2C393AEF-4324-411D,2024-01-11,CUST002850,18,Basic,Nigeria,PayPal,0.06,NGN,0.0013,Health & Beauty,MER00121,Ward LLC,completed,0,Mobile,USSD,529.8,0,0.1157,0.05,348.3
746398D6-9FF2-4860,2022/09/05,CUST006491,50,Premium,UK,PayPal,80.86,GBP,1.27,Education,MER00035,Lopez-Crawford,Completed,0,Mobile,POS,70.3,0,0.0621,75.84,757.19
28D1BCE3-D873-4E45,2022-12-17,CUST006566,999,Premium,South Africa,DC,2.94,ZAR,0.054,health & beauty,MER00157,Green and Sons,Completed,0,Mobile,android,95.5,0,0.1351,2.54,1554.14
A85D8B5C-A54E-44EE,2023-03-26,CUST012387,36,Sme,Nigeria,Bank Transfer,0.01,NGN,0.0013,Automotive,MER00232,Madden PLC,Failed,0,Mobile,Web,115.4,0,0.0556,0.01,448.33
620463C2-2734-4388,02/03/2024,CUST011574,39,Premium,France,BankTransfer,326.62,EUR,1.08,Groceries,MER00194,"Howard, Cummings and Rhodes",Completed,0,Mobile,Android,57.7,0,0.0524,309.51,682.7
96280166-7872-491A,19/05/2022,CUST013491,52,Retail,India,Airtel Money,0.1,INR,0.012,Groceries,MER00194,"Howard, Cummings and Rhodes",Completed,0,Mobile,iOS,165.1,0,0.0921,0.09,246.92
E6413D56-EA24-423C,2023-11-14,CUST000621,24,CORPORATE,Ghana,Wire Transfer,3.56,GHS,0.072,Electronics,MER00022,Carey-Moore,Declined,0,Mobile,USSD,488.9,0,0.2853,2.54,257.61
3BA10562-884E-40EC,27/11/2023,CUST001170,33,Corporate,KE,Debit Card,0.57,KES,0.0075,Fashion & Apparel,MER00171,Jones-Hester,Declined,0,Mobile,iOS,211.1,0,0.0596,0.54,1852.14
36DE4DC2-D9C4-4475,2022/04/28,CUST010382,40,Retail,Nigeria,M-Pesa,0.02,NGN,0.0013,Travel & Hospitality,MER00285,Rios Group,Completed,0,Desktop,iOS,70.7,0,0.1433,0.02,2079.47
152E997C-1DEF-49A3,03-10-2022,CUST001031,43,Premium,South Africa,Debit Card,7.59,ZAR,0.054,Travel & Hospitality,MER00159,Miller-Haney,Completed,0,Mobile,Android,172.6,0,0.1071,6.78,488.41
60781EE4-EFC4-4BBC,27/09/2024,CUST001885,27,Corp,Nigeria,mtn mobile money,0.4,NGN,0.0013,Media & Entertainment,MER00031,Stuart Group,Completed,0,Mobile,Android,241.8,0,0.0619,0.38,644.4
2B385F8F-E1F5-4D67,2024/12/15,CUST011390,50,Sme,Kenya,MPESA,0.07,KES,0.0075,Entertainment,MER00211,"Garcia, Bolton and Roman",Completed,0,Mobile,Android,388.0,0,0.2821,0.05,475.16
6AD66FE5-F377-4A19,2023/03/01,CUST005694,37,Corp,France,Bank Transfer,303.16,EUR,1.08,GROCERIES,MER00086,"Pena, Anderson and Flores",Completed,0,Mobile,Android,300.3,0,0.0453,289.43,189.31
49DB3944-4759-4AE6,2024-03-26,CUST012246,31,SME,South Africa,Crypto Wallet,1.47,ZAR,0.054,entertainment,MER00055,"Wilson, Fields and Allen",Completed,0,Tablet,Web,440.8,0,0.0925,1.33,22794.98
5B726AE4-DD01-4B1E,2023-12-19,CUST014078,18,Retail,USA,Credit Card,72.06,USD,1.0,Fashion & Apparel,MER00151,Salas-Roberts,Completed,0,Desktop,Android,437.6,0,0.0323,69.73,1301.92
0EB985D9-F6DC-416C,2024-01-24,CUST000018,22,sme,GB,MTN,258.72,GBP,1.27,Beauty,MER00063,Gonzales-Jones,completed,0,Tablet,Android,475.1,0,,239.03,969.81
86BF77D5-4B11-4C1C,23/07/2023,CUST014287,51,SME,Kenya,Debit Card,0.26,KES,0.0075,Fashion & Apparel,MER00089,Obrien Inc,Completed,0,Tablet,Web,24.4,0,0.1671,0.22,1355.61
777EA728-8CD3-4A4D,2024-11-11,CUST014364,25,SME,GH,PAYPAL,12.8,GHS,0.072,Health & Beauty,MER00264,Barnes Inc,Completed,0,Mobile,iOS,72.1,0,0.2546,9.54,118.38
B60837C7-8585-4E76,2024-10-04,CUST007720,27,Retail,Nigeria,DebitCard,0.1,NGN,0.0013,Home & Furniture,MER00175,"Daugherty, Clark and Haynes",Failed,0,Mobile,Android,110.9,0,0.0612,0.09,150.98
AB457459-EB3E-4FD0,2022-12-12,CUST009140,27,SME,GB,Debit Card,1215.99,GBP,1.27,Home & Furniture,MER00270,"Mitchell, Daniel and Lopez",Completed,0,Mobile,Android,209.1,0,0.1187,1071.65,1729.54
AD61AD48-5EE6-49BF,2024-12-23,CUST004741,35,Basic,Kenya,Bank Transfer,0.21,KES,0.0075,Electronics,MER00279,Rowe-Anderson,Failed,0,Tablet,Android,81.0,0,0.078,0.19,1239.73
49C1E66A-3F6E-4D5D,2024-11-08,CUST004914,18,Retail,United States,bank transfer,80.59,USD,1.0,Fashion & Apparel,MER00283,Reyes PLC,Pending,0,Desktop,ANDROID,242.6,0,0.0158,79.32,803.98
65E0E944-2277-40EB,2024-06-17,CUST009437,23,Corporate,Tanzania,Apple Pay,0.06,TZS,0.0004,Entertainment,MER00101,Crawford and Sons,success,0,Tablet,POS Terminal,14.7,0,0.0788,0.06,763.09
6542CA8B-F8EA-4E82,2024-05-10,CUST008203,33,SME,South Africa,Apple Pay,,ZAR,0.054,Media & Entertainment,MER00144,White PLC,Rejected,0,Mobile,Android,89.9,0,0.0349,6.57,347.77
D129C4AF-2E95-478A,18/12/2023,CUST014739,30,Corporate,South Africa,Bank Transfer,32.08,ZAR,0.054,Electronics,MER00007,"Odom, Hall and Jefferson",Completed,0,Mobile,Android,501.7,0,0.1812,26.27,154.45
97B45E37-C767-48F7,03/04/2024,CUST010706,39,Corporate,United States,Debit Card,1220.73,USD,1.0,travel,MER00237,Reyes Ltd,Completed,0,Mobile,USSD,139.4,0,0.1131,1082.67,284.93
